seed,reused,final_loss,final_accuracy,best_loss,best_accuracy,best_step,elapsed_seconds,total_wall_time_seconds,initialization_time_seconds,rebase_overhead_time_seconds,peak_memory_allocated_mb,path
11,True,0.6779665811397538,0.5523465703971119,0.6849539667260346,0.5631768953068592,140,35.14686837499903,35.123648209999374,1.801692932000151,0.0,1399.3212890625,results/2026-04-12/roberta-base_RTE_LoRA-GA多随机种子验证_A10/lora_ga_seed_11_155933
42,True,0.6903710922609598,0.48014440433212996,0.6913805745999305,0.5451263537906137,100,39.71299091600122,39.70116042599875,1.5460800580003706,0.0,1400.8212890625,results/2026-04-12/roberta-base_RTE_LoRA-GA多随机种子验证_A10/lora_ga_seed_42_160008
123,True,0.6643194351816005,0.5848375451263538,0.6575456956663717,0.6570397111913358,140,26.846228715998222,26.84595559400077,1.6081330779998098,0.0,1400.8212890625,results/2026-04-12/roberta-base_RTE_LoRA-GA多随机种子验证_A10/lora_ga_seed_123_160048
2026,True,0.6987605282115592,0.4729241877256318,0.686190653148541,0.5306859205776173,140,25.168147246000444,25.16787124000075,1.6081126760000188,0.0,1888.1806640625,results/2026-04-12/roberta-base_RTE_LoRA-GA多随机种子验证_A10/lora_ga_seed_2026_160204
3407,True,0.6794543406162882,0.6498194945848376,0.6847020637257435,0.5270758122743683,140,49.276354297999205,49.26433029300097,1.5644747229998757,0.0,1888.1806640625,results/2026-04-12/roberta-base_RTE_LoRA-GA多随机种子验证_A10/lora_ga_seed_3407_160115
