method,total_time_mean,total_time_std,init_time_mean,init_time_std,rebase_time_mean,rebase_time_std,peak_memory_mean,peak_memory_std
LoRA,29.98860956940007,15.317096704042,2.9746799918939358e-05,3.2443899688069084e-06,0.0,0.0,1384.963671875,222.4563901258233
LoRA-GA,35.220593152600124,9.855242340652756,1.6256986934000452,0.10207753490274085,0.0,0.0,1595.4650390625,267.21228626808534
GADI-R,27.945347553399916,4.099661460111227,1.6631231542000022,0.13285600574745135,0.49220381139966773,0.0075820746793018624,1613.38193359375,267.5341806068315
