seed,reused,final_loss,final_accuracy,best_loss,best_accuracy,best_step,elapsed_seconds,total_wall_time_seconds,initialization_time_seconds,rebase_overhead_time_seconds,peak_memory_allocated_mb,path
11,True,0.6872395881676933,0.5270758122743683,0.6909571511650774,0.5270758122743683,80,56.63779583500036,56.607200902999466,2.7153000701218843e-05,0.0,1285.982421875,results/2026-04-12/roberta-base_RTE_LoRA多随机种子验证_A10/lora_seed_11_155658
42,True,0.6907338035235766,0.4693140794223827,0.6912459649333885,0.5631768953068592,100,22.51886303699939,22.50564287400084,2.844300070137251e-05,0.0,1286.982421875,results/2026-04-12/roberta-base_RTE_LoRA多随机种子验证_A10/lora_seed_42_155754
123,True,0.6926779475883457,0.5270758122743683,0.68991973555045,0.5270758122743683,100,20.31645200499952,20.316154710000774,3.3593998523429036e-05,0.0,1281.982421875,results/2026-04-12/roberta-base_RTE_LoRA多随机种子验证_A10/lora_seed_123_155817
2026,True,0.7023427817795681,0.4729241877256318,0.6889314954891962,0.5270758122743683,140,21.03962937200049,21.039357286999802,2.6699999580159783e-05,0.0,1286.982421875,results/2026-04-12/roberta-base_RTE_LoRA多随机种子验证_A10/lora_seed_2026_155907
3407,True,0.6897643210655515,0.5270758122743683,0.6906943908667306,0.5270758122743683,140,29.48785868900086,29.47469207299946,3.284400008851662e-05,0.0,1782.888671875,results/2026-04-12/roberta-base_RTE_LoRA多随机种子验证_A10/lora_seed_3407_155837
