method,accuracy_mean,accuracy_std,loss_mean,loss_std,total_time_mean,total_time_std,init_time_mean,init_time_std,rebase_time_mean,rebase_time_std,peak_memory_mean,peak_memory_std,best_accuracy,worst_accuracy
LoRA,0.5046931407942239,0.03067530077436537,0.6925516884249471,0.005813217308625592,29.98860956940007,15.317096704042,2.9746799918939358e-05,3.2443899688069084e-06,0.0,0.0,1384.963671875,222.4563901258233,0.5270758122743683,0.4693140794223827
LoRA-GA,0.548014440433213,0.07413478483838078,0.6821743954820323,0.013097610892343133,35.220593152600124,9.855242340652756,1.6256986934000452,0.10207753490274085,0.0,0.0,1595.4650390625,267.21228626808534,0.6498194945848376,0.4729241877256318
GADI-R,0.5494584837545127,0.07333941904175627,0.6819342150154527,0.013842796996406326,27.945347553399916,4.099661460111227,1.6631231542000022,0.13285600574745135,0.49220381139966773,0.0075820746793018624,1613.38193359375,267.5341806068315,0.6425992779783394,0.4729241877256318
